locus_tag,gene,product,strand,prom_start,prom_end,prom_length,gc_content
Rv2917,,hypothetical protein,+,3226285,3226362,77,0.6493506493506493
Rv2918c,glnD,bifunctional uridylyltransferase/uridylyl-removing enzyme,-,3230680,3230737,57,0.6140350877192983
Rv2920c,amt,ammonium transporter integral membrane protein,-,3232506,3232806,300,0.6633333333333333
Rv2923c,,hypothetical protein,-,3238499,3238600,101,0.6534653465346535
Rv2924c,fpg,formamidopyrimidine-DNA glycosylase,-,3239470,3239770,300,0.6733333333333333
Rv2926c,,hypothetical protein,-,3241171,3241221,50,0.7
Rv2927c,,hypothetical protein,-,3241959,3242197,238,0.6260504201680672
Rv2928,tesA,thioesterase TesA,+,3241959,3242197,238,0.6260504201680672
Rv2930,fadD26,fatty-acid--CoA ligase FadD26,+,3243396,3243696,300,0.5733333333333334
Rv2940c,mas,multifunctional mycocerosic acid synthase,-,3282715,3283015,300,0.59
Rv2941,fadD28,long-chain-fatty-acid--AMP ligase FadD28,+,3283034,3283334,300,0.6466666666666666
Rv2943,,insertion sequence element IS1533 transposase,+,3288163,3288463,300,0.64
Rv2944,,insertion sequence element IS1533 transposase,+,3289705,3289789,84,0.5833333333333334
Rv2945c,lppX,lipoprotein LppX,-,3291325,3291502,177,0.6836158192090396
Rv2950c,fadD29,long-chain-fatty-acid--AMP ligase FadD29,-,3302455,3302755,300,0.6166666666666667
Rv2951c,,phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase,-,3304248,3304440,192,0.5989583333333334
Rv2952,,phthiotriol/phenolphthiotriol dimycocerosates methyltransferase,+,3304248,3304440,192,0.5989583333333334
Rv2954c,,hypothetical protein,-,3307391,3307579,188,0.7021276595744681
Rv2955c,,hypothetical protein,-,3308545,3308667,122,0.5983606557377049
Rv2956,,hypothetical protein,+,3308545,3308667,122,0.5983606557377049
Rv2957,,PGL/p-HBAD biosynthesis glycosyltransferase,+,3309399,3309469,70,0.6857142857142857
Rv2958c,,PGL/p-HBAD biosynthesis glycosyltransferase,-,3312000,3312100,100,0.57
Rv2959c,,rhamnosyl O-methyltransferase,-,3312838,3312952,114,0.4824561403508772
Rv2960c,,hypothetical protein,-,3313201,3313282,81,0.654320987654321
Rv2961,,transposase,+,3313201,3313282,81,0.654320987654321
Rv2962c,,PGL/p-HBAD biosynthesis rhamnosyltransferase,-,3315122,3315235,113,0.6460176991150443
Rv2963,,integral membrane protein,+,3315122,3315235,113,0.6460176991150443
Rv2964,purU,formyltetrahydrofolate deformylase,+,3316456,3316528,72,0.7083333333333334
Rv2965c,kdtB,phosphopantetheine adenylyltransferase,-,3318815,3318900,85,0.7411764705882353
Rv2966c,,methyltransferase,-,3319467,3319662,195,0.7333333333333333
Rv2969c,,hypothetical protein,-,3324476,3324572,96,0.6666666666666666
Rv2970c,lipN,lipase/esterase LipN,-,3325703,3325933,230,0.6521739130434783
Rv2970A,,hypothetical protein,+,3325703,3325933,230,0.6521739130434783
Rv2971,,oxidoreductase,+,3325800,3326100,300,0.5766666666666667
Rv2974c,,hypothetical protein,-,3331361,3331661,300,0.67
Rv2975c,,hypothetical protein,-,3331612,3331853,241,0.6431535269709544
Rv2975a,,50S ribosomal protein L28,+,3331612,3331853,241,0.6431535269709544
Rv2979c,,resolvase,-,3335748,3335959,211,0.6587677725118484
Rv2980,,hypothetical protein,+,3335748,3335959,211,0.6587677725118484
Rv2981c,ddlA,D-alanine--D-alanine ligase,-,3337917,3337994,77,0.6883116883116883
Rv2982c,gpdA2,glycerol-3-phosphate dehydrogenase,-,3338999,3339117,118,0.6864406779661016
Rv2983,,2-phospho-L-lactate guanylyltransferase,+,3338999,3339117,118,0.6864406779661016
Rv2984,ppk1,polyphosphate kinase,+,3339762,3339853,91,0.7142857142857143
Rv2985,mutT1,8-oxo-dGTP diphosphatase,+,3342082,3342164,82,0.6341463414634146
Rv2986c,hupB,DNA-binding protein HU,-,3343820,3344032,212,0.5990566037735849
Rv2988c,leuC,3-isopropylmalate dehydratase large subunit,-,3346075,3346146,71,0.4647887323943662
Rv2989,,transcriptional regulator,+,3346075,3346146,71,0.4647887323943662
Rv2990c,,hypothetical protein,-,3347719,3347981,262,0.6221374045801527
Rv2991,,hypothetical protein,+,3347719,3347981,262,0.6221374045801527
Rv2993c,,"2-hydroxyhepta-2,4-diene-1,7-dioate isomerase",-,3350993,3351268,275,0.7090909090909091
Rv2994,,MFS-type transporter,+,3350993,3351268,275,0.7090909090909091
Rv2998,,hypothetical protein,+,3356541,3356814,273,0.63003663003663
Rv2999,lppY,lipoprotein LppY,+,3357301,3357601,300,0.63
Rv3003c,ilvB1,acetolactate synthase large subunit IlvB,-,3362986,3363286,300,0.5833333333333334
Rv3004,cfp6,low molecular weight protein antigen 6,+,3363047,3363347,300,0.6133333333333333
Rv3005c,,hypothetical protein,-,3364532,3364708,176,0.6193181818181818
Rv3006,lppZ,lipoprotein LppZ,+,3364532,3364708,176,0.6193181818181818
Rv3007c,,oxidoreductase,-,3366450,3366643,193,0.6839378238341969
Rv3008,,hypothetical protein,+,3366450,3366643,193,0.6839378238341969
Rv3010c,pfkA,6-phosphofructokinase,-,3369854,3369949,95,0.7157894736842105
Rv3011c,gatA,glutamyl-tRNA(GLN) amidotransferase subunit A,-,3371434,3371734,300,0.6766666666666666
Rv3012c,gatC,glutamyl-tRNA(GLN) amidotransferase subunit C,-,3371730,3371814,84,0.6547619047619048
Rv3013,,hypothetical protein,+,3371730,3371814,84,0.6547619047619048
Rv3015c,,hypothetical protein,-,3375664,3375757,93,0.6559139784946236
Rv3016,lpqA,lipoprotein LpqA,+,3375664,3375757,93,0.6559139784946236
Rv3017c,esxQ,ESAT-6 like protein EsxQ,-,3376852,3376938,86,0.4418604651162791
Rv3018c,PPE46,PPE family protein PPE46,-,3378243,3378543,300,0.6233333333333333
Rv3020c,esxS,ESAT-6 like protein EsxS,-,3379329,3379629,300,0.6533333333333333
Rv3022A,PE29,PE family protein PE29,-,3380993,3381293,300,0.5966666666666667
Rv3023c,,transposase,-,3382622,3382784,162,0.5864197530864198
Rv3025c,iscS,cysteine desulfurase,-,3385066,3385162,96,0.71875
Rv3027c,,GCN5-like N-acetyltransferase,-,3386919,3387074,155,0.632258064516129
Rv3029c,fixA,electron transfer flavoprotein subunit beta,-,3388870,3389100,230,0.6260869565217392
Rv3030,,S-adenosylmethionine-dependent methyltransferase,+,3388870,3389100,230,0.6260869565217392
Rv3033,,hypothetical protein,+,3393201,3393379,178,0.6179775280898876
Rv3034c,,acetyltransferase,-,3394921,3395221,300,0.63
Rv3035,,hypothetical protein,+,3395078,3395378,300,0.66
Rv3036c,TB22.2,hypothetical protein,-,3397141,3397213,72,0.6666666666666666
Rv3037c,,S-adenosylmethionine-dependent methyltransferase,-,3398290,3398424,134,0.6791044776119403
Rv3043c,ctaD,cytochrome C oxidase cytochrome 1,-,3404921,3405135,214,0.6588785046728972
Rv3044,fecB,FeIII-dicitrate-binding periplasmic lipoprotein,+,3404921,3405135,214,0.6588785046728972
Rv3045,adhC,NADP-dependent alcohol dehydrogenase,+,3406215,3406284,69,0.4927536231884058
Rv3046c,,hypothetical protein,-,3407688,3407988,300,0.6333333333333333
Rv3047c,,hypothetical protein,-,3408306,3408403,97,0.5463917525773195
Rv3048c,nrdF2,ribonucleoside-diphosphate reductase subunit beta NrdF2,-,3409378,3409508,130,0.5692307692307692
Rv3049c,,monooxygenase,-,3411083,3411216,133,0.5939849624060151
Rv3050c,,AsnC family transcriptional regulator,-,3411957,3412084,127,0.6377952755905512
Rv3051c,nrdE,ribonucleoside-diphosphate reductase subunit alpha,-,3414166,3414231,65,0.7076923076923077
Rv3053c,nrdH,glutaredoxin electron transport protein NrdH,-,3414958,3415258,300,0.5633333333333334
Rv3054c,,hypothetical protein,-,3415989,3416080,91,0.5384615384615384
Rv3055,,TetR family transcriptional regulator,+,3415989,3416080,91,0.5384615384615384
Rv3057c,,short chain alcohol dehydrogenase/reductase,-,3418662,3418725,63,0.6666666666666666
Rv3058c,,TetR family transcriptional regulator,-,3419376,3419491,115,0.5130434782608696
Rv3059,cyp136,cytochrome P450 Cyp136,+,3419376,3419491,115,0.5130434782608696
Rv3061c,fadE22,acyl-CoA dehydrogenase FadE22,-,3425427,3425583,156,0.6153846153846154
Rv3062,ligB,DNA ligase,+,3425427,3425583,156,0.6153846153846154
Rv3063,cstA,carbon starvation protein A,+,3427107,3427242,135,0.6592592592592592
Rv3064c,,integral membrane protein,-,3430250,3430386,136,0.5588235294117647
Rv3065,mmr,multidrug resistance protein Mmr,+,3430250,3430386,136,0.5588235294117647
Rv3067,,hypothetical protein,+,3431315,3431427,112,0.6696428571428571
Rv3068c,pgmA,phosphoglucomutase PgmA,-,3433622,3433691,69,0.5942028985507246
Rv3069,,fluoride ion transporter CrcB,+,3433622,3433691,69,0.5942028985507246
Rv3073c,,hypothetical protein,-,3436685,3436778,93,0.6236559139784946
Rv3074,,hypothetical protein,+,3436685,3436778,93,0.6236559139784946
Rv3075c,,hypothetical protein,-,3438973,3439071,98,0.5408163265306123
Rv3076,,hypothetical protein,+,3438973,3439071,98,0.5408163265306123
Rv3079c,,hypothetical protein,-,3442597,3442655,58,0.6379310344827587
Rv3080c,pknK,serine/threonine-protein kinase PknK,-,3445988,3446039,51,0.6274509803921569
Rv3081,,hypothetical protein,+,3445988,3446039,51,0.6274509803921569
Rv3082c,virS,HTH-type transcriptional regulator VirS,-,3448426,3448503,77,0.5584415584415584
Rv3083,,FAD-containing monooxygenase MymA,+,3448426,3448503,77,0.5584415584415584
Rv3090,,hypothetical protein,+,3457910,3458210,300,0.62
Rv3094c,,hypothetical protein,-,3463891,3463972,81,0.5555555555555556
Rv3095,,HTH-type transcriptional regulator,+,3463891,3463972,81,0.5555555555555556
Rv3096,,hypothetical protein,+,3464449,3464546,97,0.5051546391752577
Rv3097c,lipY,triacylglycerol lipase Lip,-,3467091,3467209,118,0.635593220338983
Rv3098c,,hypothetical protein,-,3467662,3467962,300,0.6166666666666667
Rv3105c,prfB,peptide chain release factor PrfB,-,3473904,3474006,102,0.6568627450980392
Rv3106,fprA,NADPH-ferredoxin reductase FprA,+,3473904,3474006,102,0.6568627450980392
Rv3107c,agpS,alkyldihydroxyacetonephosphate synthase,-,3476961,3477059,98,0.6530612244897959
Rv3108,,hypothetical protein,+,3476961,3477059,98,0.6530612244897959
Rv3109,moaA1,cyclic pyranopterin monophosphate synthase,+,3477500,3477648,148,0.5135135135135135
Rv3110,moaB1,pterin-4-alpha-carbinolamine dehydratase,+,3478728,3478778,50,0.52
Rv3113,,phosphatase,+,3479951,3480073,122,0.6229508196721312
Rv3115,,transposase,+,3481289,3481450,161,0.5900621118012422
Rv3116,moeB2,molybdenum cofactor biosynthesis protein MoeB,+,3482698,3482775,77,0.6103896103896104
Rv3121,cyp141,cytochrome P450 Cyp141,+,3486208,3486508,300,0.6133333333333333
Rv3122,,hypothetical protein,+,3487788,3488088,300,0.6466666666666666
Rv3124,moaR1,transcriptional regulator MoaR,+,3489205,3489505,300,0.6766666666666666
Rv3125c,PPE49,PPE family protein PPE49,-,3491651,3491807,156,0.5448717948717948
Rv3130c,tgs1,diacyglycerol O-acyltransferase,-,3496366,3496550,184,0.6467391304347826
Rv3131,,NAD(P)H nitroreductase,+,3496366,3496550,184,0.6467391304347826
Rv3134c,,universal stress protein,-,3500749,3501049,300,0.5966666666666667
Rv3135,PPE50,PPE family protein PPE50,+,3501033,3501333,300,0.6533333333333333
Rv3136,PPE51,PPE family protein PPE51,+,3501732,3501793,61,0.5245901639344263
Rv3136A,,hypothetical protein,-,3503277,3503392,115,0.5826086956521739
Rv3137,,histidinol-phosphatase,+,3503277,3503392,115,0.5826086956521739
Rv3139,fadE24,acyl-CoA dehydrogenase,+,3505283,3505362,79,0.5443037974683544
Rv3141,fadB4,NADPH quinone oxidoreductase FadB,+,3507995,3508094,99,0.6565656565656566
Rv3142c,,hypothetical protein,-,3509546,3509653,107,0.5327102803738317
Rv3143,,response regulator,+,3509546,3509653,107,0.5327102803738317
Rv3144c,PPE52,PPE family protein PPE52,-,3511317,3511617,300,0.5966666666666667
Rv3145,nuoA,NADH-quinone oxidoreductase subunit A,+,3511381,3511681,300,0.6333333333333333
Rv3152,nuoH,NADH-quinone oxidoreductase subunit H,+,3519166,3519281,115,0.6956521739130435
Rv3159c,PPE53,PPE family protein PPE53,-,3529163,3529337,174,0.5862068965517241
Rv3161c,,dioxygenase,-,3531138,3531207,69,0.6376811594202898
Rv3166c,,hypothetical protein,-,3535351,3535430,79,0.6455696202531646
Rv3170,aofH,flavin-containing monoamine oxidase,+,3538362,3538504,142,0.6549295774647887
Rv3171c,hpx,non-heme haloperoxidase Hpx,-,3540745,3540881,136,0.6838235294117647
Rv3172c,,hypothetical protein,-,3541364,3541442,78,0.6025641025641025
Rv3173c,,TetR/Acr family transcriptional regulator,-,3542045,3542137,92,0.4891304347826087
Rv3174,,short-chain dehydrogenase/reductase,+,3542045,3542137,92,0.4891304347826087
Rv3176c,mesT,epoxide hydrolase MesT,-,3545300,3545446,146,0.5342465753424658
Rv3177,,peroxidase,+,3545300,3545446,146,0.5342465753424658
Rv3178,,nitroreductase,+,3546307,3546437,130,0.6307692307692307
Rv3178a,,hypothetical protein,+,3546797,3547036,239,0.6820083682008368
Rv3179,,hypothetical protein,+,3547330,3547617,287,0.5331010452961672
Rv3181c,,antitoxin VapB45,-,3550143,3550373,230,0.6434782608695652
Rv3182,,hypothetical protein,+,3550143,3550373,230,0.6434782608695652
Rv3188,,hypothetical protein,+,3553997,3554297,300,0.5833333333333334
Rv3190c,,hypothetical protein,-,3556687,3556854,167,0.688622754491018
Rv3190A,,hypothetical protein,+,3556687,3556854,167,0.688622754491018
Rv3191c,,transposase,-,3558345,3558645,300,0.6066666666666667
Rv3192,,hypothetical protein,+,3559262,3559562,300,0.5933333333333334
Rv3193c,,transmembrane protein,-,3563172,3563263,91,0.5934065934065934
Rv3194c,,hypothetical protein,-,3564286,3564363,77,0.6623376623376623
Rv3195,,hypothetical protein,+,3564286,3564363,77,0.6623376623376623
Rv3196A,,hypothetical protein,-,3566896,3567023,127,0.5905511811023622
Rv3197,,ABC transporter ATP-binding protein,+,3566896,3567023,127,0.5905511811023622
Rv3197A,whiB7,transcriptional regulator WhiB7,-,3568679,3568979,300,0.6333333333333333
Rv3198c,uvrD2,ATP-dependent DNA helicase UvrD,-,3571211,3571334,123,0.6829268292682927
Rv3198A,,glutaredoxin protein,+,3571211,3571334,123,0.6829268292682927
Rv3199c,nudC,NADH pyrophosphatase,-,3572543,3572601,58,0.8103448275862069
Rv3200c,,transmembrane cation transporter,-,3573669,3573730,61,0.5573770491803278
Rv3202c,,ATP-dependent DNA helicase,-,3580200,3580285,85,0.5647058823529412
Rv3202a,,hypothetical protein,+,3580200,3580285,85,0.5647058823529412
Rv3203,lipV,lipase LipV,+,3580495,3580637,142,0.676056338028169
Rv3206c,moeB1,adenylyltransferase/sulfurtransferase MoeZ,-,3583710,3583800,90,0.5666666666666667
Rv3207c,,hypothetical protein,-,3584658,3584958,300,0.68
Rv3208,,TetR family transcriptional regulator,+,3584703,3585003,300,0.6666666666666666
Rv3208A,TB9.4,hypothetical protein,-,3585949,3586249,300,0.6533333333333333
Rv3209,,hypothetical protein,+,3585973,3586273,300,0.6533333333333333
Rv3210c,,hypothetical protein,-,3587539,3587797,258,0.624031007751938
Rv3211,rhlE,ATP-dependent RNA helicase RhlE,+,3587539,3587797,258,0.624031007751938
Rv3213c,,SOJ/ParA-like protein,-,3591492,3591645,153,0.6666666666666666
Rv3214,gpm2,phosphoglycerate mutase,+,3591492,3591645,153,0.6666666666666666
Rv3217c,,integral membrane protein,-,3594235,3594467,232,0.6982758620689655
Rv3218,,hypothetical protein,+,3594235,3594467,232,0.6982758620689655
Rv3219,whiB1,transcriptional regulator WhiB1,+,3595433,3595712,279,0.5053763440860215
Rv3221c,TB7.3,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,-,3597766,3598050,284,0.6161971830985915
Rv3223c,sigH,ECF RNA polymerase sigma factor SigH,-,3599551,3599850,299,0.6387959866220736
Rv3224,,iron-regulated short-chain dehydrogenase/reductase,+,3599551,3599850,299,0.6387959866220736
Rv3225c,,GCN5-like N-acetyltransferase,-,3602440,3602563,123,0.6666666666666666
Rv3226c,,hypothetical protein,-,3603322,3603376,54,0.6481481481481481
Rv3227,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,+,3603322,3603376,54,0.6481481481481481
Rv3229c,desA3,stearoyl-CoA 9-desaturase,-,3607034,3607111,77,0.4935064935064935
Rv3230c,,stearoyl-CoA 9-desaturase electron transfer protein,-,3608254,3608363,109,0.6146788990825688
Rv3232c,ppk2,polyphosphate kinase,-,3609757,3610057,300,0.5866666666666667
Rv3234c,tgs3,diacyglycerol O-acyltransferase,-,3611189,3611299,110,0.6363636363636364
Rv3235,,hypothetical protein,+,3611189,3611299,110,0.6363636363636364
Rv3237c,,hypothetical protein,-,3613603,3613663,60,0.5166666666666667
Rv3238c,,integral membrane protein,-,3614398,3614456,58,0.6379310344827587
Rv3239c,,transmembrane transport protein,-,3617603,3617681,78,0.6538461538461539
Rv3240c,secA1,protein translocase subunit SecA,-,3620531,3620609,78,0.6153846153846154
Rv3241c,,hypothetical protein,-,3621254,3621554,300,0.5933333333333334
Rv3243c,,hypothetical protein,-,3623091,3623158,67,0.6268656716417911
Rv3246c,mtrA,two component DNA-binding response regulator MtrA,-,3627349,3627418,69,0.5507246376811594
Rv3247c,tmk,thymidylate kinase,-,3628063,3628159,96,0.6458333333333334
Rv3248c,sahH,adenosylhomocysteinase,-,3629647,3629751,104,0.625
Rv3249c,,TetR family transcriptional regulator,-,3630387,3630570,183,0.6120218579234973
Rv3252c,alkB,transmembrane alkane 1-monooxygenase AlkB,-,3631988,3632096,108,0.4444444444444444
Rv3253c,,cationic amino acid transport integral membrane protein,-,3633584,3633674,90,0.6444444444444445
Rv3254,,hypothetical protein,+,3633584,3633674,90,0.6444444444444445
Rv3257c,pmmA,phosphomannomutase PmmA,-,3638709,3638810,101,0.6336633663366337
Rv3258c,,hypothetical protein,-,3639302,3639424,122,0.7213114754098361
Rv3259,,hypothetical protein,+,3639302,3639424,122,0.7213114754098361
Rv3260c,whiB2,transcriptional regulator WhiB2,-,3640141,3640441,300,0.53
Rv3261,fbiA,2-phospho-L-lactate transferase,+,3640242,3640542,300,0.53
Rv3263,,DNA methylase,+,3642881,3643176,295,0.6033898305084746
Rv3266c,rmlD,dTDP-4-dehydrorhamnose reductase,-,3647809,3647884,75,0.6266666666666667
Rv3267,,hypothetical protein,+,3647809,3647884,75,0.6266666666666667
Rv3269,,hypothetical protein,+,3650109,3650233,124,0.5080645161290323
Rv3271c,,integral membrane protein,-,3653347,3653447,100,0.69
Rv3272,,hypothetical protein,+,3653347,3653447,100,0.69
Rv3285,accA3,bifunctional protein acetyl-/propionyl-CoA carboxylase subunit alpha AccA,+,3666249,3666356,107,0.5607476635514018
Rv3287c,rsbW,anti-sigma factor RsbW,-,3669388,3669585,197,0.5989847715736041
Rv3290c,lat,L-lysine-epsilon aminotransferase,-,3671794,3671844,50,0.34
Rv3294c,,hypothetical protein,-,3675995,3676065,70,0.5571428571428572
Rv3295,,TetR family transcriptional regulator,+,3675995,3676065,70,0.5571428571428572
Rv3301c,phoY1,phosphate transport system transcriptional regulator PhoY,-,3687577,3687684,107,0.6635514018691588
Rv3303c,lpdA,NAD(P)H quinone reductase LpdA,-,3690938,3691140,202,0.693069306930693
Rv3304,,hypothetical protein,+,3690938,3691140,202,0.693069306930693
Rv3306c,amiB1,amidase AmiB,-,3693989,3694053,64,0.65625
Rv3307,deoD,purine nucleoside phosphorylase,+,3693989,3694053,64,0.65625
Rv3309c,upp,uracil phosphoribosyltransferase,-,3697093,3697197,104,0.6057692307692307
Rv3310,sapM,acid phosphatase,+,3697093,3697197,104,0.6057692307692307
Rv3312b,,hypothetical protein,-,3700526,3700704,178,0.6404494382022472
Rv3312A,,pilin,-,3701016,3701086,70,0.5285714285714286
Rv3315c,cdd,cytidine deaminase,-,3703865,3704101,236,0.6186440677966102
Rv3316,sdhC,succinate dehydrogenase cytochrome B-556 subunit,+,3703865,3704101,236,0.6186440677966102
Rv3318,sdhA,succinate dehydrogenase flavoprotein subunit,+,3704871,3704999,128,0.734375
Rv3321c,vapB44,antitoxin VapB44,-,3708316,3708437,121,0.6198347107438017
Rv3324c,moaC3,cyclic pyranopterin monophosphate synthase accessory protein,-,3710248,3710548,300,0.6233333333333333
Rv3327,,transposase fusion protein,+,3711448,3711748,300,0.6366666666666667
Rv3328c,sigJ,ECF RNA polymerase sigma factor SigJ,-,3714332,3714391,59,0.6271186440677966
Rv3329,,aminotransferase,+,3714332,3714391,59,0.6271186440677966
Rv3330,dacB1,penicillin-binding protein DacB,+,3715708,3715776,68,0.6911764705882353
Rv3331,sugI,sugar-transport integral membrane protein SugI,+,3716994,3717089,95,0.6631578947368421
Rv3333c,,hypothetical protein,-,3720782,3721082,300,0.6366666666666667
Rv3334,,MerR family transcriptional regulator,+,3720956,3721256,300,0.6333333333333333
Rv3336c,trpS,tryptophan--tRNA ligase,-,3723631,3723931,300,0.6733333333333333
Rv3339c,icd1,isocitrate dehydrogenase,-,3725844,3726126,282,0.6702127659574468
Rv3340,metC,O-acetylhomoserine sulfhydrylase,+,3725844,3726126,282,0.6702127659574468
Rv3344c,PE_PGRS49,PE-PGRS family protein PE_PGRS49,-,3738000,3738157,157,0.8535031847133758
Rv3345c,PE_PGRS50,PE-PGRS family protein PE_PGRS50,-,3742774,3743074,300,0.5966666666666667
Rv3346c,,transmembrane protein,-,3743455,3743710,255,0.6313725490196078
Rv3347c,PPE55,PPE family protein PPE55,-,3753184,3753484,300,0.58
Rv3348,,transposase,+,3753464,3753764,300,0.5933333333333334
Rv3349c,,transposase,-,3755237,3755537,300,0.6633333333333333
Rv3350c,PPE56,PPE family protein PPE56,-,3767102,3767345,243,0.6172839506172839
Rv3351c,,hypothetical protein,-,3768140,3768221,81,0.6790123456790124
Rv3352c,,oxidoreductase,-,3768593,3768735,142,0.6690140845070423
Rv3353c,,hypothetical protein,-,3768996,3769110,114,0.5614035087719298
Rv3354,,hypothetical protein,+,3768996,3769110,114,0.5614035087719298
Rv3356c,folD,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,-,3770649,3770772,123,0.5934959349593496
Rv3357,relJ,antitoxin RelJ,+,3770649,3770772,123,0.5934959349593496
Rv3358,relK,toxin RelK,+,3770744,3771044,300,0.62
Rv3360,,hypothetical protein,+,3772534,3772650,116,0.5775862068965517
Rv3365c,,hypothetical protein,-,3777501,3777736,235,0.6638297872340425
Rv3366,spoU,tRNA/rRNA methylase SpoU,+,3777501,3777736,235,0.6638297872340425
Rv3367,PE_PGRS51,PE-PGRS family protein PE_PGRS51,+,3778267,3778567,300,0.6466666666666666
Rv3370c,dnaE2,error-prone DNA polymerase,-,3784740,3784931,191,0.5602094240837696
Rv3371,,diacyglycerol O-acyltransferase,+,3784740,3784931,191,0.5602094240837696
Rv3373,echA18,enoyl-CoA hydratase,+,3787489,3787725,236,0.6652542372881356
Rv3375,amiD,amidase,+,3788367,3788620,253,0.6600790513833992
Rv3376,,phosphatase,+,3790048,3790155,107,0.5607476635514018
Rv3379c,dxs2,1-deoxy-D-xylulose-5-phosphate synthase,-,3794867,3795167,300,0.6366666666666667
Rv3383c,idsB,polyprenyl synthetase IdsB,-,3798489,3798789,300,0.5033333333333333
Rv3385c,vapB46,antitoxin VapB46,-,3799943,3800091,148,0.5675675675675675
Rv3386,,transposase,+,3799943,3800091,148,0.5675675675675675
Rv3388,PE_PGRS52,PE-PGRS family protein PE_PGRS52,+,3801463,3801652,189,0.6455026455026455
Rv3389c,htdY,3-hydroxyacyl-thioester dehydratase HtdY,-,3804791,3804864,73,0.6164383561643836
Rv3390,lpqD,lipoprotein LpqD,+,3804791,3804864,73,0.6164383561643836
Rv3395c,,hypothetical protein,-,3811636,3811718,82,0.5121951219512195
Rv3395A,,membrane protein,+,3811636,3811718,82,0.5121951219512195
Rv3400,,hydrolase,+,3817175,3817238,63,0.6984126984126984
Rv3402c,,hypothetical protein,-,3821891,3822191,300,0.6366666666666667
Rv3404c,,hypothetical protein,-,3824584,3824701,117,0.717948717948718
Rv3405c,,HTH-type transcriptional regulator,-,3825268,3825329,61,0.4918032786885246
Rv3406,,dioxygenase,+,3825268,3825329,61,0.4918032786885246
Rv3408,vapC47,ribonuclease VapC47,+,3826247,3826547,300,0.6133333333333333
Rv3409c,choD,cholesterol oxidase,-,3828727,3828782,55,0.5636363636363636
Rv3411c,guaB2,inosine-5'-monophosphate dehydrogenase,-,3831519,3831725,206,0.6213592233009708
Rv3412,,hypothetical protein,+,3831519,3831725,206,0.6213592233009708
Rv3415c,,hypothetical protein,-,3834521,3834821,300,0.5333333333333333
Rv3416,whiB3,redox-responsive transcriptional regulator WhiB3,+,3834591,3834891,300,0.5766666666666667
Rv3417c,groEL1,chaperonin GroEL,-,3836891,3836985,94,0.6702127659574468
Rv3418c,groES,chaperonin GroES,-,3837288,3837554,266,0.6541353383458647
Rv3423c,alr,alanine racemase,-,3841420,3841713,293,0.6245733788395904
Rv3424c,,hypothetical protein,-,3842076,3842238,162,0.5555555555555556
Rv3425,PPE57,PPE family protein PPE57,+,3842076,3842238,162,0.5555555555555556
Rv3426,PPE58,PPE family protein PPE58,+,3842769,3843035,266,0.556390977443609
Rv3427c,,transposase,-,3844640,3844737,97,0.5670103092783505
Rv3428c,,transposase,-,3845970,3846270,300,0.6466666666666666
Rv3429,PPE59,PPE family protein PPE59,+,3846864,3847164,300,0.58
Rv3430a,,hypothetical protein,-,3848999,3849299,300,0.6033333333333334
Rv3435c,,transmembrane protein,-,3854793,3855014,221,0.6606334841628959
Rv3441c,mrsA,phosphoglucosamine mutase,-,3861370,3861494,124,0.5564516129032258
Rv3443c,rplM,50S ribosomal protein L13,-,3862390,3862623,233,0.6738197424892703
Rv3445c,esxU,ESAT-6 like protein EsxU,-,3863264,3863316,52,0.6153846153846154
Rv3447c,eccC4,ESX-4 secretion system protein EccC4,-,3868238,3868351,113,0.6106194690265486
Rv3448,eccD4,ESX-4 secretion system protein EccD4,+,3868238,3868351,113,0.6106194690265486
Rv3450c,eccB4,ESX-4 secretion system protein EccB4,-,3872496,3872616,120,0.5916666666666667
Rv3451,cut3,cutinase,+,3872496,3872616,120,0.5916666666666667
Rv3455c,truA,tRNA pseudouridine synthase A,-,3876822,3876889,67,0.6268656716417911
Rv3457c,rpoA,DNA-directed RNA polymerase subunit alpha,-,3878507,3878658,151,0.7350993377483444
Rv3460c,rpsM,30S ribosomal protein S13,-,3880070,3880285,215,0.6372093023255814
Rv3462c,infA,translation initiation factor IF-1,-,3880653,3880906,253,0.6086956521739131
Rv3463,,hypothetical protein,+,3880653,3880906,253,0.6086956521739131
Rv3464,rmlB,"dTDP-glucose 4,6-dehydratase",+,3881764,3881836,72,0.5972222222222222
Rv3466,,hypothetical protein,+,3883442,3883524,82,0.5609756097560976
Rv3469c,mhpE,4-hydroxy-2-oxovalerate aldolase MhpE,-,3887083,3887143,60,0.6166666666666667
Rv3473c,bpoA,peroxidase BpoA,-,3890733,3891033,300,0.6766666666666666
Rv3477,PE31,PE family protein PE31,+,3893792,3894092,300,0.59
Rv3479,,transmembrane protein,+,3895607,3895819,212,0.6650943396226415
Rv3480c,,diacyglycerol O-acyltransferase,-,3900402,3900492,90,0.6222222222222222
Rv3481c,,integral membrane protein,-,3901182,3901323,141,0.6312056737588653
Rv3483c,,hypothetical protein,-,3902812,3903077,265,0.6415094339622641
